Source,Target,size,Weight
Conditions Affecting the Embryonic and Fetal Periods,Brain Disorders,1,0.002202643
Congenital Structural Anomalies,Brain Disorders,1,0.002202643
Coronaviruses Disparities and At-Risk Populations,Brain Disorders,1,0.002202643
Cost Effectiveness Research,Brain Disorders,3,0.00660793
Dementia,Brain Disorders,144,0.317180617
Dental/Oral and Craniofacial Disease,Brain Disorders,1,0.002202643
Depression,Brain Disorders,31,0.068281938
Diabetes,Brain Disorders,3,0.00660793
Dissemination and Implementation Research,Brain Disorders,9,0.019823789
Down Syndrome,Brain Disorders,7,0.015418502
Drug Abuse (NIDA only),Brain Disorders,66,0.145374449
Eating Disorders,Brain Disorders,5,0.011013216
Emergency Care,Brain Disorders,3,0.00660793
Epilepsy,Brain Disorders,18,0.039647577
Frontotemporal Dementia (FTD),Brain Disorders,6,0.013215859
Genetic Testing,Brain Disorders,3,0.00660793
Health Services,Brain Disorders,58,0.127753304
Heart Disease,Brain Disorders,5,0.011013216
Heart Disease - Coronary Heart Disease,Brain Disorders,2,0.004405286
Hematology,Brain Disorders,7,0.015418502
Hepatitis,Brain Disorders,2,0.004405286
Hepatitis - C,Brain Disorders,2,0.004405286
Hypertension,Brain Disorders,3,0.00660793
Immunization,Brain Disorders,3,0.00660793
Immunotherapy,Brain Disorders,3,0.00660793
Injury - Trauma - (Head and Spine),Brain Disorders,12,0.026431718
Injury - Traumatic brain injury,Brain Disorders,12,0.026431718
Injury (total) Accidents/Adverse Effects,Brain Disorders,7,0.015418502
Intellectual and Developmental Disabilities (IDD),Brain Disorders,32,0.070484581
Lewy Body Dementia,Brain Disorders,1,0.002202643
Lung,Brain Disorders,5,0.011013216
Lung Cancer,Brain Disorders,1,0.002202643
Major Depressive Disorder,Brain Disorders,5,0.011013216
Maternal Morbidity and Mortality,Brain Disorders,1,0.002202643
Mental Health,Brain Disorders,161,0.354625551
Mental Illness,Brain Disorders,88,0.193832599
Methamphetamine,Brain Disorders,3,0.00660793
Mind and Body,Brain Disorders,22,0.04845815
Multiple Sclerosis,Brain Disorders,5,0.011013216
Nanotechnology,Brain Disorders,2,0.004405286
Neurodegenerative,Brain Disorders,174,0.383259912
Nutrition,Brain Disorders,7,0.015418502
Obesity,Brain Disorders,5,0.011013216
Opioid Misuse and Addiction,Brain Disorders,40,0.088105727
Opioids,Brain Disorders,40,0.088105727
Osteoarthritis,Brain Disorders,2,0.004405286
Pain Research,Brain Disorders,12,0.026431718
Parkinson's Disease,Brain Disorders,4,0.008810573
Patient Safety,Brain Disorders,35,0.077092511
Pediatric Cancer,Brain Disorders,5,0.011013216
Pediatric Research Initiative,Brain Disorders,3,0.00660793
Physical Activity,Brain Disorders,5,0.011013216
Physical Injury - Accidents and Adverse Effects,Brain Disorders,26,0.057268722
Physical Rehabilitation,Brain Disorders,7,0.015418502
Pneumonia,Brain Disorders,1,0.002202643
Pneumonia & Influenza,Brain Disorders,1,0.002202643
Post-Traumatic Stress Disorder (PTSD),Brain Disorders,10,0.022026432
Precision Medicine,Brain Disorders,98,0.215859031
Prescription Drug Abuse,Brain Disorders,11,0.024229075
Prostate Cancer,Brain Disorders,1,0.002202643
Rehabilitation,Brain Disorders,14,0.030837004
Rural Health,Brain Disorders,5,0.011013216
Schizophrenia,Brain Disorders,23,0.050660793
Screening And Brief Intervention For Substance Abuse,Brain Disorders,1,0.002202643
Sepsis,Brain Disorders,3,0.00660793
Serious Mental Illness,Brain Disorders,47,0.103524229
Sickle Cell Disease,Brain Disorders,1,0.002202643
Sleep Research,Brain Disorders,8,0.017621145
Social Determinants of Health,Brain Disorders,48,0.105726872
Spinal Cord Injury,Brain Disorders,4,0.008810573
Stem Cell Research,Brain Disorders,4,0.008810573
Stem Cell Research - Induced Pluripotent Stem Cell,Brain Disorders,4,0.008810573
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Brain Disorders,4,0.008810573
Stroke,Brain Disorders,22,0.04845815
Substance Abuse,Brain Disorders,49,0.107929515
Substance Abuse Prevention,Brain Disorders,1,0.002202643
Substance Misuse,Brain Disorders,36,0.079295154
Suicide,Brain Disorders,11,0.024229075
Suicide Prevention,Brain Disorders,2,0.004405286
Telehealth,Brain Disorders,3,0.00660793
Tobacco,Brain Disorders,3,0.00660793
Tobacco Smoke and Health,Brain Disorders,3,0.00660793
Traumatic Brain Injury (TBI),Brain Disorders,10,0.022026432
Traumatic Head and Spine Injury,Brain Disorders,10,0.022026432
Underage Drinking,Brain Disorders,4,0.008810573
Urologic Diseases,Brain Disorders,1,0.002202643
Vaccine Related,Brain Disorders,3,0.00660793
Vascular Cognitive Impairment/Dementia,Brain Disorders,3,0.00660793
Colo-Rectal Cancer,Breast Cancer,2,0.055555556
Immunotherapy,Breast Cancer,4,0.111111111
Liver Cancer,Breast Cancer,2,0.055555556
Lung Cancer,Breast Cancer,1,0.027777778
Ovarian Cancer,Breast Cancer,2,0.055555556
Pancreatic Cancer,Breast Cancer,1,0.027777778
Chronic Obstructive Pulmonary Disease,Burden of Illness,1,0.2
Epilepsy,Burden of Illness,1,0.055555556
"Alcoholism, Alcohol Use and Health",Cancer,2,0.004524887
American Indian or Alaska Native,Cancer,1,0.002262443
Antimicrobial Resistance,Cancer,1,0.002262443
Basic Behavioral and Social Science,Cancer,7,0.015837104
Brain Cancer,Cancer,15,0.033936652
Breast Cancer,Cancer,36,0.081447964
Burden of Illness,Cancer,1,0.002262443
Cancer Genomics,Cancer,220,0.497737557
Cardiovascular,Cancer,4,0.009049774
Cervical Cancer,Cancer,2,0.004524887
Childhood Leukemia,Cancer,4,0.009049774
Chronic Obstructive Pulmonary Disease,Cancer,1,0.002262443
Colo-Rectal Cancer,Cancer,12,0.027149321
Comparative Effectiveness Research,Cancer,5,0.011312217
Conditions Affecting the Embryonic and Fetal Periods,Cancer,2,0.004524887
Congenital Structural Anomalies,Cancer,5,0.011312217
Coronaviruses Diagnostics and Prognostics,Cancer,3,0.00678733
Coronaviruses Therapeutics and Interventions,Cancer,2,0.004524887
Cost Effectiveness Research,Cancer,2,0.004524887
Diabetes,Cancer,2,0.004524887
Down Syndrome,Cancer,1,0.002262443
Drug Abuse (NIDA only),Cancer,13,0.029411765
Gene Therapy,Cancer,2,0.004524887
Genetic Testing,Cancer,4,0.009049774
Heart Disease,Cancer,3,0.00678733
HPV and/or Cervical Cancer Vaccines,Cancer,1,0.002262443
Hypertension,Cancer,1,0.002262443
Immunotherapy,Cancer,22,0.049773756
Influenza,Cancer,2,0.004524887
Intellectual and Developmental Disabilities (IDD),Cancer,1,0.002262443
Kidney Disease,Cancer,1,0.002262443
Liver Cancer,Cancer,6,0.013574661
Lung Cancer,Cancer,21,0.047511312
Lymphatic Research,Cancer,1,0.002262443
Lymphoma,Cancer,1,0.002262443
Malaria,Cancer,1,0.002262443
Nanotechnology,Cancer,1,0.002262443
Nutrition,Cancer,2,0.004524887
Obesity,Cancer,1,0.002262443
Ovarian Cancer,Cancer,3,0.00678733
Pancreatic Cancer,Cancer,10,0.022624434
Pediatric Cancer,Cancer,26,0.058823529
Pediatric Research Initiative,Cancer,1,0.002262443
Physical Activity,Cancer,2,0.004524887
Prostate Cancer,Cancer,13,0.029411765
Radiation Oncology,Cancer,11,0.024886878
Rehabilitation,Cancer,3,0.00678733
Rural Health,Cancer,2,0.004524887
Sexually Transmitted Infections,Cancer,2,0.004524887
Sleep Research,Cancer,1,0.002262443
Stomach Cancer,Cancer,1,0.002262443
Substance Abuse,Cancer,8,0.018099548
Tobacco,Cancer,3,0.00678733
Tobacco Smoke and Health,Cancer,3,0.00678733
Tuberculosis,Cancer,1,0.002262443
Urologic Diseases,Cancer,16,0.036199095
"Alcoholism, Alcohol Use and Health",Cancer Genomics,1,0.004545455
Basic Behavioral and Social Science,Cancer Genomics,2,0.009090909
Brain Cancer,Cancer Genomics,10,0.045454545
Breast Cancer,Cancer Genomics,20,0.090909091
Cardiovascular,Cancer Genomics,2,0.009090909
Childhood Leukemia,Cancer Genomics,3,0.013636364
Colo-Rectal Cancer,Cancer Genomics,8,0.036363636
Comparative Effectiveness Research,Cancer Genomics,5,0.022727273
Congenital Structural Anomalies,Cancer Genomics,5,0.022727273
Cost Effectiveness Research,Cancer Genomics,2,0.009090909
Down Syndrome,Cancer Genomics,1,0.004545455
Drug Abuse (NIDA only),Cancer Genomics,4,0.018181818
Genetic Testing,Cancer Genomics,1,0.004545455
Heart Disease,Cancer Genomics,2,0.009090909
Immunotherapy,Cancer Genomics,12,0.054545455
Intellectual and Developmental Disabilities (IDD),Cancer Genomics,1,0.004545455
Kidney Disease,Cancer Genomics,1,0.004545455
Liver Cancer,Cancer Genomics,3,0.013636364
Lung Cancer,Cancer Genomics,6,0.027272727
Lymphatic Research,Cancer Genomics,1,0.004545455
Lymphoma,Cancer Genomics,1,0.004545455
Nutrition,Cancer Genomics,1,0.004545455
Ovarian Cancer,Cancer Genomics,2,0.009090909
Pancreatic Cancer,Cancer Genomics,4,0.018181818
Pediatric Cancer,Cancer Genomics,19,0.086363636
Prostate Cancer,Cancer Genomics,7,0.031818182
Rehabilitation,Cancer Genomics,2,0.009090909
Substance Abuse,Cancer Genomics,2,0.009090909
Urologic Diseases,Cancer Genomics,8,0.036363636
Eating Disorders,Cannabinoid Research,1,0.2
Antimicrobial Resistance,Cardiovascular,1,0.008547009
Arthritis,Cardiovascular,2,0.017094017
Assistive Technology,Cardiovascular,1,0.008547009
Asthma,Cardiovascular,3,0.025641026
Atherosclerosis,Cardiovascular,10,0.085470085
Autoimmune Disease,Cardiovascular,3,0.025641026
Burden of Illness,Cardiovascular,3,0.025641026
Cerebrovascular,Cardiovascular,3,0.025641026
Cervical Cancer,Cardiovascular,1,0.008547009
Chronic Obstructive Pulmonary Disease,Cardiovascular,1,0.008547009
Comparative Effectiveness Research,Cardiovascular,7,0.05982906
Congenital Heart Disease,Cardiovascular,6,0.051282051
Congenital Structural Anomalies,Cardiovascular,4,0.034188034
Cost Effectiveness Research,Cardiovascular,4,0.034188034
Dissemination and Implementation Research,Cardiovascular,3,0.025641026
Heart Disease,Cardiovascular,77,0.658119658
Heart Disease - Coronary Heart Disease,Cardiovascular,7,0.05982906
Hypertension,Cardiovascular,12,0.102564103
Infant Mortality,Cardiovascular,2,0.017094017
Injury - Trauma - (Head and Spine),Cardiovascular,1,0.008547009
Injury - Traumatic brain injury,Cardiovascular,1,0.008547009
Injury (total) Accidents/Adverse Effects,Cardiovascular,1,0.008547009
Kidney Disease,Cardiovascular,1,0.008547009
Lupus,Cardiovascular,2,0.017094017
Malaria,Cardiovascular,1,0.008547009
Muscular Dystrophy,Cardiovascular,1,0.008547009
Neonatal Respiratory Distress,Cardiovascular,3,0.025641026
Physical Activity,Cardiovascular,5,0.042735043
Rheumatoid Arthritis,Cardiovascular,1,0.008547009
Sepsis,Cardiovascular,3,0.025641026
Sleep Research,Cardiovascular,8,0.068376068
Stem Cell Research,Cardiovascular,2,0.017094017
Stem Cell Research - Induced Pluripotent Stem Cell,Cardiovascular,2,0.017094017
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Cardiovascular,2,0.017094017
Stem Cell Research - Nonembryonic - Human,Cardiovascular,2,0.017094017
Stroke,Cardiovascular,3,0.025641026
Telehealth,Cardiovascular,3,0.025641026
Tuberculosis,Cardiovascular,1,0.008547009
Wound Healing and Care,Cardiovascular,1,0.008547009
Dissemination and Implementation Research,Caregiving Research,1,0.043478261
Rehabilitation,Caregiving Research,1,0.032258065
Physical Rehabilitation,Cerebral Palsy,4,0.222222222
Alzheimer's Disease Related Dementias (ADRD),Cerebrovascular,6,0.230769231
Aphasia,Cerebrovascular,3,0.115384615
Arthritis,Cerebrovascular,2,0.058823529
Back Pain,Cerebrovascular,1,0.038461538
Cerebral Palsy,Cerebrovascular,2,0.076923077
Comparative Effectiveness Research,Cerebrovascular,4,0.105263158
Cost Effectiveness Research,Cerebrovascular,1,0.038461538
Epilepsy,Cerebrovascular,1,0.038461538
Heart Disease,Cerebrovascular,3,0.038961039
Heart Disease - Coronary Heart Disease,Cerebrovascular,2,0.076923077
Hypertension,Cerebrovascular,2,0.076923077
Injury - Trauma - (Head and Spine),Cerebrovascular,1,0.038461538
Injury - Traumatic brain injury,Cerebrovascular,1,0.038461538
Physical Activity,Cerebrovascular,2,0.076923077
Physical Injury - Accidents and Adverse Effects,Cerebrovascular,1,0.023255814
Physical Rehabilitation,Cerebrovascular,5,0.192307692
Post-Traumatic Stress Disorder (PTSD),Cerebrovascular,1,0.038461538
Rehabilitation,Cerebrovascular,7,0.225806452
Sleep Research,Cerebrovascular,1,0.038461538
Stroke,Cerebrovascular,22,0.846153846
Vascular Cognitive Impairment/Dementia,Cerebrovascular,3,0.115384615
HPV and/or Cervical Cancer Vaccines,Cervical Cancer,1,0.5
Malaria,Cervical Cancer,1,0.111111111
Eating Disorders,Childhood Obesity,4,0.571428571
Emphysema,Chronic Obstructive Pulmonary Disease,1,0.333333333
Lung Cancer,Chronic Obstructive Pulmonary Disease,1,0.047619048
Tobacco,Chronic Obstructive Pulmonary Disease,1,0.1
Tobacco Smoke and Health,Chronic Obstructive Pulmonary Disease,1,0.111111111
Anxiety Disorders,Chronic Pain,3,0.115384615
Arthritis,Chronic Pain,2,0.058823529
Back Pain,Chronic Pain,5,0.192307692
Behavioral and Social Science,Chronic Pain,8,0.016032064
Biomedical Imaging,Chronic Pain,2,0.008298755
Biotechnology,Chronic Pain,5,0.008210181
Cancer,Chronic Pain,2,0.004524887
Cerebrovascular,Chronic Pain,1,0.038461538
Complementary and Integrative Health,Chronic Pain,3,0.115384615
Dementia,Chronic Pain,1,0.006944444
Drug Abuse (NIDA only),Chronic Pain,1,0.007575758
Health Services,Chronic Pain,5,0.024630542
Hematology,Chronic Pain,5,0.096153846
Immunization,Chronic Pain,2,0.058823529
Injury - Trauma - (Head and Spine),Chronic Pain,2,0.076923077
Injury - Traumatic brain injury,Chronic Pain,2,0.076923077
Injury (total) Accidents/Adverse Effects,Chronic Pain,1,0.038461538
Mental Health,Chronic Pain,4,0.014869888
Mental Illness,Chronic Pain,1,0.011111111
Neurodegenerative,Chronic Pain,1,0.005208333
Opioid Misuse and Addiction,Chronic Pain,3,0.057692308
Opioids,Chronic Pain,6,0.096774194
Osteoarthritis,Chronic Pain,2,0.076923077
Pain Research,Chronic Pain,26,0.634146341
Patient Safety,Chronic Pain,7,0.030172414
Pediatric Research Initiative,Chronic Pain,1,0.038461538
Physical Injury - Accidents and Adverse Effects,Chronic Pain,3,0.069767442
Post-Traumatic Stress Disorder (PTSD),Chronic Pain,3,0.115384615
Precision Medicine,Chronic Pain,9,0.023684211
Rehabilitation,Chronic Pain,1,0.032258065
Sickle Cell Disease,Chronic Pain,5,0.192307692
Sleep Research,Chronic Pain,2,0.076923077
Social Determinants of Health,Chronic Pain,2,0.00921659
Stroke,Chronic Pain,1,0.038461538
Substance Abuse,Chronic Pain,1,0.010989011
Substance Misuse,Chronic Pain,2,0.026315789
Suicide,Chronic Pain,1,0.038461538
Traumatic Brain Injury (TBI),Chronic Pain,1,0.038461538
Traumatic Head and Spine Injury,Chronic Pain,1,0.038461538
Vaccine Related,Chronic Pain,2,0.064516129
Climate-Related Exposures and Conditions,Climate Change,8,0.25
Conditions Affecting the Embryonic and Fetal Periods,Climate Change,1,0.071428571
ALS,Climate-Related Exposures and Conditions,1,0.03125
Cardiovascular,Climate-Related Exposures and Conditions,2,0.017094017
Conditions Affecting the Embryonic and Fetal Periods,Climate-Related Exposures and Conditions,3,0.09375
Foodborne Illness,Climate-Related Exposures and Conditions,1,0.03125
Heart Disease,Climate-Related Exposures and Conditions,2,0.025974026
Lead Poisoning,Climate-Related Exposures and Conditions,4,0.125
Lyme Disease,Climate-Related Exposures and Conditions,2,0.0625
Acquired Cognitive Impairment,Clinical Research,59,0.065265487
Acute Respiratory Distress Syndrome,Clinical Research,10,0.011061947
Aging,Clinical Research,134,0.148230088
"Alcoholism, Alcohol Use and Health",Clinical Research,14,0.015486726
ALS,Clinical Research,2,0.002212389
Alzheimer's Disease,Clinical Research,52,0.057522124
Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),Clinical Research,55,0.060840708
Alzheimer's Disease Related Dementias (ADRD),Clinical Research,8,0.008849558
American Indian or Alaska Native,Clinical Research,7,0.007743363
Antimicrobial Resistance,Clinical Research,6,0.006637168
Anxiety Disorders,Clinical Research,9,0.009955752
Aphasia,Clinical Research,1,0.001106195
Arthritis,Clinical Research,16,0.017699115
Assistive Technology,Clinical Research,11,0.012168142
Asthma,Clinical Research,5,0.005530973
Atherosclerosis,Clinical Research,6,0.006637168
Attention Deficit Disorder (ADD),Clinical Research,5,0.005530973
Attention Deficit Hyperactivity Disorder (ADHD),Clinical Research,3,0.003318584
Autism,Clinical Research,10,0.011061947
Autoimmune Disease,Clinical Research,24,0.026548673
Back Pain,Clinical Research,5,0.005530973
Basic Behavioral and Social Science,Clinical Research,91,0.100663717
Behavioral and Social Science,Clinical Research,298,0.329646018
Biodefense,Clinical Research,14,0.015486726
Bioengineering,Clinical Research,395,0.28113879
Biomedical Imaging,Clinical Research,83,0.091814159
Biotechnology,Clinical Research,112,0.123893805
Bipolar Disorder,Clinical Research,12,0.013274336
Brain Cancer,Clinical Research,7,0.007743363
Brain Disorders,Clinical Research,229,0.253318584
Breast Cancer,Clinical Research,16,0.017699115
Burden of Illness,Clinical Research,4,0.004424779
Cancer,Clinical Research,112,0.123893805
Cancer Genomics,Clinical Research,44,0.048672566
Cannabinoid Research,Clinical Research,1,0.001106195
Cardiovascular,Clinical Research,79,0.087389381
Caregiving Research,Clinical Research,11,0.012168142
Celiac Disease,Clinical Research,1,0.001106195
Cerebral Palsy,Clinical Research,3,0.003318584
Cerebrovascular,Clinical Research,20,0.022123894
Cervical Cancer,Clinical Research,1,0.001106195
Childhood Injury,Clinical Research,1,0.001106195
Childhood Leukemia,Clinical Research,2,0.002212389
Childhood Obesity,Clinical Research,6,0.006637168
Chronic Obstructive Pulmonary Disease,Clinical Research,2,0.002212389
Chronic Pain,Clinical Research,15,0.01659292
Climate Change,Clinical Research,6,0.006637168
Climate-Related Exposures and Conditions,Clinical Research,19,0.021017699
Clinical Trials and Supportive Activities,Clinical Research,96,0.10619469
Colo-Rectal Cancer,Clinical Research,5,0.005530973
Comparative Effectiveness Research,Clinical Research,38,0.042035398
Complementary and Integrative Health,Clinical Research,1,0.001106195
Conditions Affecting the Embryonic and Fetal Periods,Clinical Research,8,0.008849558
Congenital Heart Disease,Clinical Research,6,0.006637168
Congenital Structural Anomalies,Clinical Research,9,0.009955752
Contraception/Reproduction,Clinical Research,16,0.017699115
Coronaviruses,Clinical Research,54,0.059734513
Coronaviruses Diagnostics and Prognostics,Clinical Research,8,0.008849558
Coronaviruses Disparities and At-Risk Populations,Clinical Research,12,0.013274336
Coronaviruses Therapeutics and Interventions,Clinical Research,2,0.002212389
Cost Effectiveness Research,Clinical Research,6,0.006637168
Crohn's Disease,Clinical Research,1,0.001106195
Data Science,Clinical Research,887,0.321027868
Dementia,Clinical Research,57,0.063053097
Dental/Oral and Craniofacial Disease,Clinical Research,18,0.019911504
Depression,Clinical Research,25,0.027654867
Diabetes,Clinical Research,14,0.015486726
Digestive Diseases,Clinical Research,26,0.028761062
Dissemination and Implementation Research,Clinical Research,19,0.021017699
Drug Abuse (NIDA only),Clinical Research,57,0.063053097
Dystonia,Clinical Research,1,0.001106195
Eating Disorders,Clinical Research,4,0.004424779
Electronic Nicotine Delivery Systems,Clinical Research,2,0.002212389
Emergency Care,Clinical Research,15,0.01659292
Emerging Infectious Diseases,Clinical Research,65,0.071902655
Emphysema,Clinical Research,1,0.001106195
Endocrine Disruptors,Clinical Research,6,0.006637168
Endometriosis,Clinical Research,3,0.003318584
Epilepsy,Clinical Research,9,0.009955752
Estrogen,Clinical Research,3,0.003318584
Eye Disease and Disorders of Vision,Clinical Research,16,0.017699115
Foodborne Illness,Clinical Research,1,0.001106195
Frontotemporal Dementia (FTD),Clinical Research,3,0.003318584
Genetic Testing,Clinical Research,11,0.012168142
Genetics,Clinical Research,159,0.175884956
Health Disparities,Clinical Research,177,0.19579646
Health Services,Clinical Research,200,0.221238938
Hearing Loss,Clinical Research,4,0.004424779
Heart Disease,Clinical Research,58,0.064159292
Heart Disease - Coronary Heart Disease,Clinical Research,5,0.005530973
Hematology,Clinical Research,28,0.030973451
Hepatitis,Clinical Research,2,0.002212389
Hepatitis - C,Clinical Research,2,0.002212389
HIV/AIDS,Clinical Research,41,0.045353982
HPV and/or Cervical Cancer Vaccines,Clinical Research,1,0.001106195
Human Genome,Clinical Research,113,0.125
Hypertension,Clinical Research,12,0.013274336
Immunization,Clinical Research,15,0.01659292
Immunotherapy,Clinical Research,10,0.011061947
Infant Mortality,Clinical Research,2,0.002212389
Infectious Diseases,Clinical Research,111,0.122787611
Infertility,Clinical Research,1,0.001106195
Inflammatory Bowel Disease,Clinical Research,2,0.002212389
Influenza,Clinical Research,2,0.002212389
Injury - Trauma - (Head and Spine),Clinical Research,8,0.008849558
Injury - Traumatic brain injury,Clinical Research,8,0.008849558
Injury (total) Accidents/Adverse Effects,Clinical Research,6,0.006637168
Intellectual and Developmental Disabilities (IDD),Clinical Research,11,0.012168142
Kidney Disease,Clinical Research,15,0.01659292
Lead Poisoning,Clinical Research,4,0.004424779
Liver Cancer,Clinical Research,1,0.001106195
Liver Disease,Clinical Research,6,0.006637168
Lung,Clinical Research,42,0.046460177
Lung Cancer,Clinical Research,7,0.007743363
Lupus,Clinical Research,1,0.001106195
Machine Learning and Artificial Intelligence,Clinical Research,415,0.419191919
Major Depressive Disorder,Clinical Research,3,0.003318584
Malaria,Clinical Research,1,0.001106195
Malaria Vaccine,Clinical Research,1,0.001106195
Maternal Health,Clinical Research,11,0.012168142
Maternal Morbidity and Mortality,Clinical Research,4,0.004424779
Mental Health,Clinical Research,127,0.140486726
Mental Illness,Clinical Research,60,0.066371681
Methamphetamine,Clinical Research,3,0.003318584
Microbiome,Clinical Research,14,0.015486726
Mind and Body,Clinical Research,19,0.021017699
Minority Health,Clinical Research,174,0.192477876
Multiple Sclerosis,Clinical Research,3,0.003318584
Muscular Dystrophy,Clinical Research,1,0.001106195
Neonatal Respiratory Distress,Clinical Research,3,0.003318584
Networking and Information Technology R&D (NITRD),Clinical Research,672,0.317430326
Neurodegenerative,Clinical Research,79,0.087389381
Neurosciences,Clinical Research,177,0.19579646
Nutrition,Clinical Research,18,0.019911504
Obesity,Clinical Research,11,0.012168142
Opioid Misuse and Addiction,Clinical Research,33,0.036504425
Opioids,Clinical Research,36,0.039823009
Orphan Drug,Clinical Research,20,0.022123894
Osteoarthritis,Clinical Research,2,0.002212389
Ovarian Cancer,Clinical Research,3,0.003318584
Pain Research,Clinical Research,28,0.030973451
Pancreatic Cancer,Clinical Research,1,0.001106195
Parkinson's Disease,Clinical Research,1,0.001106195
Patient Safety,Clinical Research,162,0.17920354
Pediatric,Clinical Research,143,0.158185841
Pediatric Cancer,Clinical Research,8,0.008849558
Pediatric Research Initiative,Clinical Research,6,0.006637168
Perinatal Period - Conditions Originating in Perinatal Period,Clinical Research,24,0.026548673
Physical Activity,Clinical Research,21,0.023230088
Physical Injury - Accidents and Adverse Effects,Clinical Research,31,0.034292035
Physical Rehabilitation,Clinical Research,5,0.005530973
Pneumonia,Clinical Research,6,0.006637168
Pneumonia & Influenza,Clinical Research,6,0.006637168
Post-Traumatic Stress Disorder (PTSD),Clinical Research,5,0.005530973
Precision Medicine,Clinical Research,173,0.191371681
Pregnancy,Clinical Research,11,0.012168142
Prescription Drug Abuse,Clinical Research,9,0.009955752
"Preterm, Low Birth Weight and Health of the Newborn",Clinical Research,14,0.015486726
Prevention,Clinical Research,309,0.341814159
Prostate Cancer,Clinical Research,4,0.004424779
Radiation Oncology,Clinical Research,3,0.003318584
Rare Diseases,Clinical Research,87,0.096238938
Regenerative Medicine,Clinical Research,1,0.001106195
Rehabilitation,Clinical Research,15,0.01659292
Rheumatoid Arthritis,Clinical Research,6,0.006637168
Rural Health,Clinical Research,27,0.029867257
Schizophrenia,Clinical Research,20,0.022123894
Screening And Brief Intervention For Substance Abuse,Clinical Research,1,0.001106195
Sepsis,Clinical Research,15,0.01659292
Serious Mental Illness,Clinical Research,42,0.046460177
Sexual and Gender Minorities (SGM/LGBT*),Clinical Research,3,0.003318584
Sexually Transmitted Infections,Clinical Research,3,0.003318584
Sickle Cell Disease,Clinical Research,2,0.002212389
Sleep Research,Clinical Research,6,0.006637168
Social Determinants of Health,Clinical Research,126,0.139380531
Stem Cell Research,Clinical Research,3,0.003318584
Stem Cell Research - Induced Pluripotent Stem Cell,Clinical Research,3,0.003318584
Stem Cell Research - Induced Pluripotent Stem Cell - Human,Clinical Research,3,0.003318584
Stomach Cancer,Clinical Research,1,0.001106195
Stroke,Clinical Research,18,0.019911504
Substance Abuse,Clinical Research,42,0.046460177
Substance Abuse Prevention,Clinical Research,3,0.003318584
Substance Misuse,Clinical Research,36,0.039823009
Suicide,Clinical Research,11,0.012168142
Suicide Prevention,Clinical Research,3,0.003318584
Telehealth,Clinical Research,12,0.013274336
Tobacco,Clinical Research,6,0.006637168
Tobacco Smoke and Health,Clinical Research,5,0.005530973
Transplantation,Clinical Research,1,0.001106195
Traumatic Brain Injury (TBI),Clinical Research,4,0.004424779
Traumatic Head and Spine Injury,Clinical Research,4,0.004424779
Tuberculosis,Clinical Research,1,0.001106195
Underage Drinking,Clinical Research,4,0.004424779
Urologic Diseases,Clinical Research,11,0.012168142
Vaccine Related,Clinical Research,15,0.01659292
Vascular Cognitive Impairment/Dementia,Clinical Research,2,0.002212389
Vector-Borne Diseases,Clinical Research,6,0.006637168
Violence Research,Clinical Research,1,0.001106195
Women's Health,Clinical Research,161,0.178097345
Youth Violence,Clinical Research,1,0.001106195
"Alcoholism, Alcohol Use and Health",Clinical Trials and Supportive Activities,3,0.03125
Assistive Technology,Clinical Trials and Supportive Activities,1,0.010416667
Autism,Clinical Trials and Supportive Activities,4,0.041666667
Basic Behavioral and Social Science,Clinical Trials and Supportive Activities,6,0.031578947
Brain Cancer,Clinical Trials and Supportive Activities,1,0.010416667
Breast Cancer,Clinical Trials and Supportive Activities,5,0.052083333
Cancer,Clinical Trials and Supportive Activities,22,0.049773756
Cancer Genomics,Clinical Trials and Supportive Activities,10,0.045454545
Cardiovascular,Clinical Trials and Supportive Activities,17,0.145299145
Caregiving Research,Clinical Trials and Supportive Activities,5,0.052083333
Cerebrovascular,Clinical Trials and Supportive Activities,4,0.041666667
Comparative Effectiveness Research,Clinical Trials and Supportive Activities,24,0.25
Coronaviruses Diagnostics and Prognostics,Clinical Trials and Supportive Activities,1,0.010416667
Coronaviruses Disparities and At-Risk Populations,Clinical Trials and Supportive Activities,1,0.010416667
Cost Effectiveness Research,Clinical Trials and Supportive Activities,3,0.03125
Dissemination and Implementation Research,Clinical Trials and Supportive Activities,11,0.114583333
Drug Abuse (NIDA only),Clinical Trials and Supportive Activities,20,0.151515152
Electronic Nicotine Delivery Systems,Clinical Trials and Supportive Activities,1,0.010416667
Emergency Care,Clinical Trials and Supportive Activities,1,0.010416667
Genetic Testing,Clinical Trials and Supportive Activities,2,0.020833333
Heart Disease,Clinical Trials and Supportive Activities,12,0.125
Heart Disease - Coronary Heart Disease,Clinical Trials and Supportive Activities,2,0.020833333
Hypertension,Clinical Trials and Supportive Activities,4,0.041666667
Immunotherapy,Clinical Trials and Supportive Activities,6,0.0625
Infant Mortality,Clinical Trials and Supportive Activities,2,0.020833333
Intellectual and Developmental Disabilities (IDD),Clinical Trials and Supportive Activities,4,0.041666667
Kidney Disease,Clinical Trials and Supportive Activities,2,0.020833333
